team,p_QF,p_SF,p_final,p_champion
Argentina,0.8659,0.5762,0.36495,0.20895
Spain,0.663,0.4987,0.32845,0.20355
France,0.7641,0.58505,0.33065,0.19425
England,0.52765,0.30905,0.15845,0.07595
Brazil,0.58445,0.3076,0.14475,0.06605
Colombia,0.5893,0.2479,0.1201,0.0515
Morocco,0.67955,0.2424,0.0955,0.0357
Portugal,0.337,0.199,0.08665,0.0354
Mexico,0.47235,0.2218,0.0826,0.03085
Switzerland,0.4107,0.1423,0.0627,0.02335
Belgium,0.54775,0.16775,0.06155,0.02265
Norway,0.41555,0.16155,0.0584,0.0202
United States,0.45225,0.13455,0.05145,0.0172
Paraguay,0.2359,0.1058,0.03115,0.00925
Canada,0.32045,0.06675,0.0146,0.0037
Egypt,0.1341,0.0336,0.00805,0.00145
